train1/1d6,0,1,15,N/A,N/A
train1/64c,2,7,15,4,7
train1/70d,1,2,8,N/A,N/A
train1/84c,1,4,12,N/A,N/A
train1/b1c,0,0,29,inf,inf
train2/10b,5,2,26,7,0
train2/85b,0,1,15,inf,1
train2/577,5,11,18,N/A,N/A
train2/297,0,0,22,N/A,N/A
train2/885,0,0,24,2,0
train2/aeb,0,1,19,N/A,N/A
train2/ebe,2,0,15,4,0
train2/fa0,6,3,15,2,3
train2/fb4,1,1,15,1,0
train3/02c,1,0,15,1,0
train3/08a,2,3,15,N/A,N/A
train3/9da,0,1,22,N/A,N/A
train3/52a,0,1,5,N/A,N/A
train3/747,2,6,29,1,2
train4/2d1,1,0,5,1,0
val/7d3,4,5,29,inf,inf
